stnnbr,oxygen,ctdoxy,latitude,longitude,ctdtmp,ctdsal,ctdprs,date,cruise
12,54.8,49.6,48.3,-126.42,5.7715,34.034,402.1,130805,WCOA5
12,75.9,85.7,48.3,-126.42,6.6459,33.942,202.5,130805,WCOA5
12,183,182.9,48.3,-126.42,7.2983,33.474,123.8,130805,WCOA5
12,256,257.4,48.3,-126.42,7.3441,32.795,80.5,130805,WCOA5
12,283.2,278.5,48.3,-126.42,8.0984,32.526,50.1,130805,WCOA5
12,273.5,277.8,48.3,-126.42,13.3986,32.079,20.4,130805,WCOA5
12,271.6,268.4,48.3,-126.42,14.2929,32.092,10.8,130805,WCOA5
12,271.2,268.3,48.3,-126.42,14.2905,32.092,3.8,130805,WCOA5
13,55.4,54.1,48.37,-126.32,5.7504,34.029,367,130805,WCOA5
13,136.5,116.3,48.37,-126.32,6.6343,33.906,203.6,130805,WCOA5
13,162.8,156.3,48.37,-126.32,7.3807,33.647,125.2,130805,WCOA5
13,237.9,235.3,48.37,-126.32,7.2507,32.998,81.3,130805,WCOA5
13,281.4,281.5,48.37,-126.32,13.0036,32.195,19.6,130805,WCOA5
13,272.8,278.6,48.37,-126.32,13.1658,32.15,9.6,130805,WCOA5
13,272.2,278.4,48.37,-126.32,13.1717,32.148,4.2,130805,WCOA5
14,46.9,45.3,48.44,-126.24,5.5756,34.046,399.9,130805,WCOA5
14,116.5,130.2,48.44,-126.24,6.6193,33.907,206.3,130805,WCOA5
14,229.6,153.9,48.44,-126.24,7.3971,33.69,125.3,130805,WCOA5
14,156.6,230.9,48.44,-126.24,7.2161,33.019,79.3,130805,WCOA5
14,276.2,278.2,48.44,-126.24,8.1679,32.478,49.3,130805,WCOA5
14,282.2,275.1,48.44,-126.24,11.1662,32.381,20,130805,WCOA5
14,279.1,272.9,48.44,-126.24,12.6891,32.207,10.2,130805,WCOA5
14,279.6,272.8,48.44,-126.24,12.6948,32.206,3.6,130805,WCOA5
15,98,95.3,48.5,-126.13,6.6837,33.886,147.4,130805,WCOA5
15,135.3,133.6,48.5,-126.13,7.1387,33.836,124.6,130805,WCOA5
15,152.6,149.7,48.5,-126.13,7.3807,33.676,81,130805,WCOA5
15,206.2,207.5,48.5,-126.13,7.3077,33.12,50.1,130805,WCOA5
15,275,284.4,48.5,-126.13,10.4719,32.303,19.2,130805,WCOA5
15,298.5,296.2,48.5,-126.13,12.6804,32.194,9.8,130805,WCOA5
15,298,296,48.5,-126.13,12.6947,32.193,2.5,130805,WCOA5
16,107.9,108.5,48.53,-126.01,7.0526,33.8,100.8,130805,WCOA5
16,129.1,129.7,48.53,-126.01,7.2888,33.655,79.3,130805,WCOA5
16,152.3,155.1,48.53,-126.01,7.3922,33.319,59.6,130805,WCOA5
16,167.8,171.3,48.53,-126.01,7.4102,33.136,49.4,130805,WCOA5
16,173.1,170.7,48.53,-126.01,7.8802,32.892,39.4,130805,WCOA5
