stnnbr,oxygen,ctdoxy,latitude,longitude,ctdtmp,ctdsal,ctdprs,date,cruise
1,23.4,20.1,51.458,-130.846,2.751,34.458,1350.2,2021-06-25,WCOA7
1,15.1,16.7,51.458,-130.846,3.374,34.384,1012.5,2021-06-25,WCOA7
1,16.5,18.8,51.457,-130.846,3.886,34.248,760,2021-06-25,WCOA7
1,40.5,39,51.457,-130.846,4.568,34.061,505.7,2021-06-25,WCOA7
1,119.8,119.2,51.457,-130.846,5.972,33.873,253.6,2021-06-25,WCOA7
1,156,154.2,51.457,-130.846,6.977,33.704,152.5,2021-06-25,WCOA7
1,166.1,168.5,51.457,-130.846,7.267,33.536,126.2,2021-06-25,WCOA7
1,211.8,209.1,51.457,-130.846,7.169,32.935,101.6,2021-06-25,WCOA7
1,247.4,250.5,51.457,-130.846,7.323,32.535,81.9,2021-06-25,WCOA7
1,285.6,282.2,51.456,-130.846,7.736,32.288,60.6,2021-06-25,WCOA7
1,284.3,288.3,51.456,-130.847,7.867,32.213,51.2,2021-06-25,WCOA7
1,295.4,296.2,51.456,-130.847,9.022,32.151,41,2021-06-25,WCOA7
1,297,301.7,51.456,-130.847,10.343,32.078,31.3,2021-06-25,WCOA7
1,295,297.2,51.456,-130.847,11.781,31.955,20.5,2021-06-25,WCOA7
1,288.2,286.2,51.456,-130.847,12.62,31.947,11.1,2021-06-25,WCOA7
1,287.1,282.4,51.456,-130.847,13.192,31.952,6,2021-06-25,WCOA7
2,19.7,21.5,51.711,-130.642,4.062,34.242,886.4,2021-06-25,WCOA7
2,23,24.5,51.711,-130.642,4.219,34.207,752.5,2021-06-25,WCOA7
2,48,48.3,51.712,-130.644,4.9,34.053,503,2021-06-25,WCOA7
2,65.3,62.8,51.713,-130.644,5.219,33.986,403.4,2021-06-25,WCOA7
2,83.9,83.8,51.713,-130.644,5.625,33.902,301.7,2021-06-25,WCOA7
2,104.3,104.8,51.714,-130.645,6.001,33.832,200.2,2021-06-25,WCOA7
2,131.8,130.8,51.714,-130.645,6.28,33.525,149.6,2021-06-25,WCOA7
2,150.4,150.6,51.714,-130.645,6.535,33.268,124.7,2021-06-25,WCOA7
2,152.8,154.6,51.714,-130.645,6.586,33.227,100.7,2021-06-25,WCOA7
2,169.2,172.6,51.715,-130.645,6.829,33.071,81,2021-06-25,WCOA7
2,181.8,182.6,51.715,-130.645,7.072,32.945,60.7,2021-06-25,WCOA7
2,210.8,213.1,51.715,-130.645,7.617,32.666,50.6,2021-06-25,WCOA7
2,214.4,218.8,51.715,-130.645,7.655,32.646,40.3,2021-06-25,WCOA7
2,217.1,221.5,51.715,-130.645,7.703,32.625,31.2,2021-06-25,WCOA7
2,233.7,246.5,51.715,-130.645,8.627,32.324,20.8,2021-06-25,WCOA7
2,254.9,253.7,51.716,-130.645,8.963,32.216,14.8,2021-06-25,WCOA7
2,265.7,259.6,51.716,-130.644,9.452,32.103,10.6,2021-06-25,WCOA7
2,274.3,261.5,51.716,-130.644,9.872,32.044,3.7,2021-06-25,WCOA7
3,83,84.5,51.83,-130.374,5.564,33.892,205.2,2021-06-25,WCOA7
3,138.3,138.2,51.83,-130.373,6.476,33.413,125.5,2021-06-25,WCOA7
3,156.3,154.2,51.83,-130.373,6.676,33.247,100.6,2021-06-25,WCOA7
3,189.8,189.3,51.83,-130.373,7.15,32.744,61.1,2021-06-25,WCOA7
3,197.5,198.2,51.83,-130.372,7.409,32.525,50.4,2021-06-25,WCOA7
3,226.1,223,51.83,-130.372,7.882,32.284,41.8,2021-06-25,WCOA7
3,234.5,246.3,51.83,-130.372,8.228,32.144,30.8,2021-06-25,WCOA7
3,253.9,254.9,51.83,-130.372,8.595,32.144,21,2021-06-25,WCOA7
3,260.7,260.7,51.83,-130.371,8.692,32.137,15.4,2021-06-25,WCOA7
3,287.3,282.2,51.83,-130.371,10.175,31.767,10.9,2021-06-25,WCOA7
3,294.8,296.5,51.83,-130.371,13.284,31.601,4.4,2021-06-25,WCOA7
4,261.9,258,52.399,-129.051,9.558,31.865,35.5,2021-06-25,WCOA7
4,285.5,295.2,52.399,-129.051,11.711,31.41,19.8,2021-06-25,WCOA7
4,304.9,306,52.398,-129.051,12.86,30.403,10.2,2021-06-25,WCOA7
4,302.5,306.3,52.398,-129.052,12.922,30.416,3.8,2021-06-25,WCOA7
5,97.1,96,52.249,-129.402,5.701,33.819,150.8,2021-06-26,WCOA7
5,134.3,134,52.249,-129.402,6.433,33.454,135.5,2021-06-26,WCOA7
5,150.3,149.4,52.249,-129.402,6.621,33.272,125.5,2021-06-26,WCOA7
5,212.3,209.9,52.249,-129.402,7.197,32.629,99.8,2021-06-26,WCOA7
5,210.5,209.2,52.248,-129.402,7.383,32.508,80.2,2021-06-26,WCOA7
5,244.8,245,52.248,-129.402,7.891,32.214,59.9,2021-06-26,WCOA7
5,249.4,248,52.248,-129.402,8.073,32.169,49.4,2021-06-26,WCOA7
5,262.6,268.9,52.248,-129.403,8.716,32.021,40.5,2021-06-26,WCOA7
5,272.4,283.1,52.248,-129.403,9.602,31.834,30.5,2021-06-26,WCOA7
5,305.9,306.5,52.248,-129.403,11.963,31.628,20.2,2021-06-26,WCOA7
5,304.6,306.1,52.248,-129.403,12.392,31.634,15.1,2021-06-26,WCOA7
5,305.2,304.2,52.248,-129.403,13.752,31.542,10.4,2021-06-26,WCOA7
5,305.7,304.6,52.248,-129.403,13.77,31.546,3.7,2021-06-26,WCOA7
6,141.5,140.1,52.018,-129.971,6.648,33.286,120.9,2021-06-26,WCOA7
6,144.5,145.6,52.017,-129.971,6.695,33.23,100.4,2021-06-26,WCOA7
6,179.6,174.7,52.018,-129.971,7.001,32.892,80.9,2021-06-26,WCOA7
6,225.4,224,52.018,-129.971,7.582,32.343,60.7,2021-06-26,WCOA7
6,236.5,236.6,52.018,-129.971,7.773,32.25,50.8,2021-06-26,WCOA7
6,246.4,244.5,52.017,-129.971,8.374,31.991,41.1,2021-06-26,WCOA7
6,252.4,257.4,52.017,-129.971,9.055,31.855,31.1,2021-06-26,WCOA7
6,287.3,290.5,52.018,-129.971,11.038,31.693,20.7,2021-06-26,WCOA7
6,284.8,298.7,52.017,-129.971,12.27,31.645,9.9,2021-06-26,WCOA7
6,293.1,287.5,52.017,-129.971,13.472,31.641,4.2,2021-06-26,WCOA7
7,74.8,75.1,48.185,-126.596,1.777,34.636,2503.6,2021-06-27,WCOA7
7,57.7,59.8,48.185,-126.596,1.995,34.589,2001.2,2021-06-27,WCOA7
7,29.7,31.3,48.185,-126.595,2.648,34.513,1500.8,2021-06-27,WCOA7
7,13.3,14.1,48.185,-126.593,3.697,34.386,1001.9,2021-06-27,WCOA7
7,12.4,14.6,48.185,-126.593,4.314,34.263,751.7,2021-06-27,WCOA7
7,28.6,29.3,48.185,-126.592,4.988,34.13,500.4,2021-06-27,WCOA7
7,57.3,59.1,48.185,-126.591,5.802,34.013,301.9,2021-06-27,WCOA7
7,83.3,82.8,48.185,-126.59,6.72,33.935,201.3,2021-06-27,WCOA7
7,179,181.6,48.185,-126.59,7.685,32.861,100.9,2021-06-27,WCOA7
7,236.4,239.8,48.185,-126.589,7.842,32.541,81.1,2021-06-27,WCOA7
7,290.9,287.9,48.185,-126.589,8.015,32.292,60.1,2021-06-27,WCOA7
7,293.8,294.1,48.185,-126.589,8.181,32.263,50.9,2021-06-27,WCOA7
7,319.3,320.5,48.185,-126.588,10.82,32.091,26.7,2021-06-27,WCOA7
7,280.4,286.6,48.185,-126.588,13.441,32.02,20.6,2021-06-27,WCOA7
7,277.4,269.8,48.185,-126.588,14.184,31.803,10.6,2021-06-27,WCOA7
7,273.9,269.2,48.185,-126.588,15.043,31.979,4,2021-06-27,WCOA7
8,20.2,22.3,48.356,-126.307,3.042,34.468,1290,2021-06-27,WCOA7
8,11.1,13.3,48.356,-126.307,3.782,34.369,1001,2021-06-27,WCOA7
8,13.9,15.1,48.356,-126.307,4.384,34.248,750.8,2021-06-27,WCOA7
8,34.8,35.7,48.356,-126.307,5.199,34.096,500.6,2021-06-27,WCOA7
8,45.9,47.8,48.356,-126.307,5.538,34.049,400.5,2021-06-27,WCOA7
8,63.9,66,48.356,-126.307,6.024,33.999,300,2021-06-27,WCOA7
8,94,95.3,48.356,-126.307,6.921,33.937,200.3,2021-06-27,WCOA7
8,114.5,117.6,48.356,-126.307,7.442,33.836,150.6,2021-06-27,WCOA7
8,184.9,187.9,48.356,-126.307,7.537,33.21,100.2,2021-06-27,WCOA7
8,244.8,244.6,48.356,-126.307,7.764,32.61,80.7,2021-06-27,WCOA7
8,279.6,283.2,48.356,-126.307,7.949,32.312,60.3,2021-06-27,WCOA7
8,296.3,291.8,48.356,-126.307,8.134,32.295,49.3,2021-06-27,WCOA7
8,289.7,290.7,48.356,-126.307,8.2,32.212,40.1,2021-06-27,WCOA7
8,326.9,350.9,48.356,-126.307,9.356,32.068,30.1,2021-06-27,WCOA7
8,290.1,284,48.356,-126.307,13.41,31.865,20,2021-06-27,WCOA7
8,284,282.6,48.356,-126.307,13.651,31.792,10.1,2021-06-27,WCOA7
8,280.4,271.6,48.356,-126.307,14.976,31.707,4.3,2021-06-27,WCOA7
9,23.4,22.6,48.433,-126.227,4.781,34.168,592.5,2021-06-27,WCOA7
9,49.7,51,48.433,-126.227,5.538,34.036,400.1,2021-06-27,WCOA7
9,66.4,66.2,48.432,-126.227,6.06,33.997,300.4,2021-06-27,WCOA7
9,100,99.6,48.432,-126.227,7.151,33.939,199.8,2021-06-27,WCOA7
9,115.9,116.2,48.432,-126.228,7.721,33.834,150.4,2021-06-27,WCOA7
9,137.6,132.4,48.432,-126.228,7.678,33.68,124.1,2021-06-27,WCOA7
9,166,165.3,48.432,-126.228,7.769,33.366,100.2,2021-06-27,WCOA7
9,211,212.3,48.432,-126.228,7.7,32.862,79.1,2021-06-27,WCOA7
9,271.8,277.2,48.432,-126.228,7.945,32.332,60.1,2021-06-27,WCOA7
9,290.1,286.6,48.432,-126.227,8.201,32.235,50.4,2021-06-27,WCOA7
9,288.8,287.3,48.432,-126.227,8.325,32.195,40.5,2021-06-27,WCOA7
9,298.9,293.9,48.432,-126.227,8.826,32.142,30.3,2021-06-27,WCOA7
9,299.3,291,48.432,-126.227,12.603,31.84,20.4,2021-06-27,WCOA7
9,289.8,288.2,48.432,-126.227,13.13,31.767,15.2,2021-06-27,WCOA7
9,287.8,287.9,48.432,-126.227,13.63,31.736,10.7,2021-06-27,WCOA7
9,289.8,286.4,48.432,-126.227,14.641,31.75,3.3,2021-06-27,WCOA7
10,74.3,73.2,48.537,-125.996,7.133,33.641,114.6,2021-06-27,WCOA7
10,102,102.8,48.537,-125.996,7.279,33.549,99.8,2021-06-27,WCOA7
10,127.7,130.2,48.537,-125.996,7.509,33.22,80.2,2021-06-27,WCOA7
10,126,126,48.537,-125.996,7.868,32.904,60.3,2021-06-27,WCOA7
10,219.6,220.6,48.537,-125.996,9.024,32.291,40,2021-06-27,WCOA7
10,253.6,253.8,48.537,-125.996,9.898,32.135,30.7,2021-06-27,WCOA7
10,263.2,269.3,48.537,-125.996,10.993,31.994,20.4,2021-06-27,WCOA7
10,286.3,285.7,48.536,-125.996,12.907,31.849,14.9,2021-06-27,WCOA7
10,298.2,301.3,48.536,-125.996,13.782,31.753,9.9,2021-06-27,WCOA7
10,288.6,290.4,48.536,-125.996,16.697,31.728,3.4,2021-06-27,WCOA7
11,128,127,48.658,-125.782,8.332,32.905,57.1,2021-06-27,WCOA7
11,139.7,133.3,48.658,-125.782,8.455,32.845,40.1,2021-06-27,WCOA7
11,149.5,148.3,48.658,-125.782,8.721,32.355,30.1,2021-06-27,WCOA7
11,201.4,205.2,48.658,-125.782,9.769,32.223,20.3,2021-06-27,WCOA7
11,217.8,221,48.658,-125.782,10.141,32.144,15.1,2021-06-27,WCOA7
11,239.4,241.3,48.658,-125.782,11.096,31.984,10.6,2021-06-27,WCOA7
11,275,267.2,48.658,-125.782,12.77,31.766,3.1,2021-06-27,WCOA7
12,102.3,100.2,48.719,-125.677,7.708,33.309,157.6,2021-06-28,WCOA7
12,111.5,110.1,48.719,-125.677,7.912,33.184,125.1,2021-06-28,WCOA7
12,126.2,122.9,48.719,-125.677,8.124,33.104,100.2,2021-06-28,WCOA7
